Provider,BeneID_get_mode_count,AttendingPhysician_get_mode_count,OperatingPhysician_nunique,OperatingPhysician_get_mode_count,OtherPhysician_get_mode_count,ClmAdmitDiagnosisCode_nunique,DiagnosisGroupCode_nunique,State_nunique,County_Name_nunique,InscClaimAmtReimbursed_mean,InscClaimAmtReimbursed_p99_5,DeductibleAmtPaid_std,DeductibleAmtPaid_p99_5,IPAnnualReimbursementAmt_mean,IPAnnualReimbursementAmt_std,IPAnnualReimbursementAmt_p99_5,IPAnnualDeductibleAmt_mean,IPAnnualDeductibleAmt_std,IPAnnualDeductibleAmt_p99_5,OPAnnualReimbursementAmt_mean,OPAnnualReimbursementAmt_p99_5,OPAnnualDeductibleAmt_mean,Age_std,Age_min,Age_max,IsMale_any,IsMale_std,IsWhiteRace_any,IsBlackRace_any,IsHispanicRace_any,IsOtherRace_any,RenalDiseaseIndicator_mean,RenalDiseaseIndicator_any,RenalDiseaseIndicator_all,IsInpatient_std,IsInpatient_any,IsPostDischargeBilling_any,IsDead_any,ClaimDurationDays_min,ClaimDurationDays_max,ClaimDurationDays_mean,ClaimDurationDays_std,ClmDiagnosisCount_mean,ClmDiagnosisCount_std,ClmDiagnosisCount_max,NoOfMonths_PartACov_std,NoOfMonths_PartBCov_std,Diseases Of The Circulatory System_max,Diseases Of The Circulatory System_std,Diseases Of The Digestive System_max,Diseases Of The Digestive System_std,Diseases Of The Genitourinary System_max,Diseases Of The Genitourinary System_std,Diseases Of The Nervous System_max,Diseases Of The Nervous System_std,Diseases Of The Respiratory System_max,Diseases Of The Respiratory System_std,"Injury, Poisoning & External Causes_max","Injury, Poisoning & External Causes_std",Mental Disorders_max,Mental Disorders_std,Musculoskeletal & Connective Tissue_max,Musculoskeletal & Connective Tissue_std,Neoplasms_max,Neoplasms_std,Supplementary Factors (V-Codes)_max,Supplementary Factors (V-Codes)_std,"Symptoms, Signs, And Ill-Defined_max","Symptoms, Signs, And Ill-Defined_std","Systemic, Metabolic & Blood Disorders_max","Systemic, Metabolic & Blood Disorders_std",Congenital Anomalies_std,Diseases Of The Skin_std,Infectious And Parasitic Diseases_std,"Pregnancy, Childbirth & Perinatal_std",Procedures & Surgeries_std,IschemicHeart_Rate,Diabetes_Rate,HeartFailure_Rate,Depression_Rate,Alzheimer_Rate,KidneyDisease_Rate,Osteoporosis_Rate,RheumArthritis_Rate,ObstrPulmonary_Rate,Cancer_Rate,Stroke_Rate,AttPhys_per_Bene,OpPhys_per_Bene,OtherPhys_per_Bene,State_Concentration,Diag_Concentration,GroupCode_Concentration,County_Concentration,Circulatory_Rate,IllDefined_Rate,MetabolicBlood_Rate,Musculoskeletal_Rate,Supplementary_Rate,PotentialFraud
PRV55368,3,9,16,4,5,10,1,2,10,215.3913043478261,2900.999999999995,13.721652701493795,84.29999999999993,3622.521739130435,11292.014011112227,68409.39999999986,408.62608695652176,782.2959625344563,4272.0,1250.695652173913,6054.4,407.9130434782609,13.309650218580385,39.419575633128,100.67077344284736,1,0.4859584410289861,1,1,0,1,0.1391304347826087,1,0,0.0,0,0,1,0,20,0.6173913043478261,3.180484925774939,2.4434782608695653,2.0182991986385512,9,1.1190057698883764,0.0,4,0.7014205918576402,2,0.33439951532634704,1,0.3070491429744969,3,0.5112017518761858,2,0.3921425043362347,4,0.430528385911446,2,0.40060975645152413,3,0.6591490712221773,3,0.4998855704299009,4,0.8260628684913931,3,0.5514006850597514,3,0.6208922985323715,0.0,0.2267402402243472,0.0,0.0,0.0,0.730434776257089,0.7217391241587903,0.5739130384877127,0.43478260491493387,0.38260869232514183,0.3565217360302458,0.3565217360302458,0.3043478234404537,0.26086956294896035,0.19130434616257092,0.026086956294896033,0.9913043392060492,0.1999999982608696,0.37391304022684313,0.860869557731569,0.782608688846881,0.9999999913043479,0.33043477973534974,0.3478260839319471,0.2347826066540643,0.29565217134215505,0.28695651924385635,0.5913043426843101,0
PRV52042,2,20,7,4,12,10,2,2,2,533.0769230769231,7214.999999999982,148.1049523921362,795.6599999999972,3881.346153846154,8189.858393481479,38879.99999999994,410.03846153846155,734.7967028846384,2931.659999999997,1898.4615384615386,7015.649999999994,563.4615384615385,12.969710427908407,29.752224503764545,98.16837782340862,1,0.4803844614152614,1,1,1,1,0.07692307692307693,1,0,0.13867504905630726,1,0,0,0,8,0.25,1.1861124504439027,2.8846153846153846,2.280813805174881,9,0.0,0.0,4,0.9846100819992962,1,0.269069117598525,2,0.49848942252976375,2,0.45952300011204644,2,0.3785341258916494,4,0.6066499260117115,1,0.23543547789870936,2,0.5902679811685199,2,0.30764516984328466,3,0.6715507368448513,3,0.6298267615963346,2,0.6958181486046493,0.0,0.30764516984328466,0.41602514716892197,0.13867504905630726,0.0,0.5961538346893493,0.6538461412721897,0.6153846035502961,0.5192307592455624,0.3846153772189351,0.34615383949704154,0.34615383949704154,0.30769230177514806,0.3846153772189351,0.11538461316568052,0.17307691974852077,0.9999999807692311,0.23076922633136104,0.42307691494082855,0.9807692119082845,0.7115384478550298,0.9807692119082845,0.9807692119082845,0.6730769101331364,0.2692307640532545,0.42307691494082855,0.34615383949704154,0.49999999038461557,0
PRV52642,11,145,8,87,34,16,128,3,11,3046.422018348624,25824.99999999999,503.45269882233447,1068.0,7895.573394495413,12050.302019074987,69300.0,961.2018348623853,1273.4232425126131,4736.999999999998,2937.5688073394494,31090.0,890.0,12.849108555721001,33.16632443531827,100.0,1,0.4951520749718617,1,1,1,1,0.2545871559633027,1,0,0.4724844867443453,1,0,1,0,35,2.9013761467889907,5.382978531629253,4.394495412844036,3.2765789521792326,10,0.0,0.09578262852211546,8,1.3429115263898213,4,0.6170065127717042,3,0.6115474621227422,3,0.5768340578688209,5,0.7808035078655715,7,0.646782446794102,4,0.5244370999985589,5,0.702547300228472,3,0.35349000404393216,6,0.806788005616431,4,0.71026875484008,5,0.9909508310252587,0.08275927976116351,0.33967654314026063,0.28040133332354433,0.2482778392834904,0.0,0.7866972459020706,0.7408256863742531,0.6467889893422271,0.5091743107587745,0.44266054944343913,0.481651375042084,0.3096330268127683,0.3211009166947227,0.36926605419893105,0.16743119227653397,0.15137614644179784,0.9977064197300312,0.28440366907246867,0.26605504526134166,0.9862385298480768,0.5573394482629829,0.6651376131533541,0.7821100899492888,0.9655963280605588,0.44036697146704823,0.7133027506575625,0.3463302744350223,0.5940366958852369,1
PRV57693,3,133,1,23,57,10,1,1,2,310.1503759398496,3102.000000000001,14.804490275954356,100.0,4636.992481203008,9876.017782990422,57000.0,514.8571428571429,988.183098164422,4517.760000000013,2059.8496240601503,23580.0,665.6390977443609,11.102396456439513,39.252566735112936,100.58590006844626,1,0.4914395925155201,1,1,1,1,0.17293233082706766,1,0,0.0,0,0,0,0,20,1.6466165413533835,5.2472149737392515,2.6766917293233083,2.1125486265891733,10,1.7885486733105962,0.0,3,0.6697071245836937,4,0.520265981714472,2,0.5097589439203716,2,0.33616929844993804,2,0.3225058527572122,3,0.3523834155327015,1,0.28758784208880117,7,0.9270497723822128,2,0.3361692984499381,3,0.7649921781178248,4,0.8343011013041247,4,0.7670741980049457,0.0,0.26853695914694475,0.14904572277588302,0.0,0.0,0.7293233027870428,0.7067669119791962,0.5488721763242693,0.42857142534908704,0.3533834559895981,0.3533834559895981,0.28571428356605805,0.3383458621177003,0.2932330805020069,0.12030075097518232,0.07518796935948896,0.9999999924812031,0.17293232952682458,0.42857142534908704,0.9999999924812031,0.8195488660184296,0.9999999924812031,0.6090225518118605,0.37593984679744474,0.39849623760529146,0.39097744066934254,0.38345864373339367,0.503759394708576,0
PRV55200,6,69,1,13,0,9,1,4,17,293.4782608695652,2959.9999999999964,18.343599388715244,100.0,2707.246376811594,5861.70645803511,26398.599999999984,469.5652173913044,1104.0518353967657,6037.119999999989,2165.7971014492755,19954.39999999998,667.1014492753624,14.438271714879612,37.41820670773443,98.16837782340862,1,0.5031867754087856,1,1,1,0,0.2028985507246377,1,0,0.0,0,0,0,0,20,0.9420289855072463,3.8151557595641776,2.869565217391304,2.4065660394640727,9,0.0,1.4446302370292303,3,0.7780010234555406,3,0.5835920751217646,2,0.4185592142777142,7,0.8848926223625551,1,0.23540065789143486,2,0.38900051172777034,2,0.2912477200624971,4,0.8484979959344982,2,0.41702882811414954,3,0.7972138183215103,2,0.4894452903462391,4,0.8130961318891479,0.16899482177531733,0.2054251408446605,0.20542514084466046,0.0,0.0,0.8695652047889101,0.7681159308968706,0.5362318762864946,0.5362318762864946,0.46376810922075207,0.42028984898130656,0.28985506826297003,0.24637680802352452,0.37681158874186105,0.11594202730518802,0.07246376706574251,0.9999999855072467,0.18840579437093052,0.0,0.46376810922075207,0.8260869445494646,0.9999999855072467,0.42028984898130656,0.46376810922075207,0.23188405461037603,0.43478260239445504,0.43478260239445504,0.47826086263390055,0
PRV57005,1,2,0,0,1,2,1,1,1,155.0,298.55,0.0,0.0,4000.0,5656.85424949238,7960.0,1068.0,1510.3800846144654,2125.32,2055.0,3683.55,265.0,2.2941041360877765,67.67145790554414,70.91581108829568,1,0.0,1,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0.0,0.0,2.0,0.0,2,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2,0.7071067811865476,1,0.0,0.0,0.0,0.0,0.0,0.0,0.499999750000125,0.99999950000025,0.0,0.499999750000125,0.499999750000125,0.0,0.99999950000025,0.0,0.499999750000125,0.0,0.0,0.99999950000025,0.0,0.499999750000125,0.99999950000025,0.499999750000125,0.99999950000025,0.99999950000025,0.0,1.499999250000375,0.99999950000025,0.0,0.0,0
PRV54970,4,53,17,8,18,13,7,2,4,455.6652360515021,8578.80000000001,169.7917444856674,1068.0,3383.0901287553647,8087.552316919548,40000.0,407.3648068669528,748.1400903511242,3033.1200000000035,2465.536480686695,32350.0,670.8154506437768,13.455096025099223,27.252566735112936,99.9151266255989,1,0.48987075944477987,1,1,1,1,0.1888412017167382,1,0,0.15873277210662623,1,0,0,0,20,1.4334763948497855,4.699238238029582,2.832618025751073,2.2191098935938447,10,0.7861461384965018,0.7987984909568558,4,0.8348095060258902,5,0.5664383896875501,3,0.4979237638326922,2,0.33658568234971575,3,0.368640892658589,2,0.37776164794873535,2,0.2980499991329115,7,0.8064047306475665,2,0.3417671649345195,3,0.7199405119061819,4,0.6702244614829902,5,0.8511368399845388,0.0,0.2752022410776377,0.14522135100367178,0.0,0.0,0.72961373077419,0.6652360486470555,0.5708154481939252,0.39055793823794877,0.3133047196853875,0.3562231744368104,0.38197424728766416,0.28326180135939144,0.364806865387095,0.13304720972941111,0.1502145916299803,0.9957081502330123,0.16738197353054948,0.39484978371309104,0.9957081502330123,0.802575103851609,0.9742489228573008,0.9399141590561624,0.5493562208182137,0.33905579253624124,0.4721030022656524,0.2789699558842491,0.5021459205916484,0
PRV53142,4,4,34,2,3,13,38,7,43,3550.0,32450.000000000004,511.53037494182536,1068.0,9980.36036036036,17373.972588481993,91140.00000000017,942.3063063063063,1227.6267776989496,5340.0,2474.954954954955,18379.000000000044,747.4774774774775,14.317434534850369,26.168377823408623,100.67077344284736,1,0.501267843841445,1,1,1,1,0.23423423423423423,1,0,0.47955753562573683,1,0,0,0,35,3.2972972972972974,6.1327653477701904,4.873873873873874,3.3004603456243027,10,1.2687899786126977,0.0,6,1.4176840303212874,4,0.7838459124180048,3,0.541330299390763,3,0.5117777466014537,5,0.8767634622372038,6,0.8021265756768339,5,0.619635040929404,5,0.8577822193251243,2,0.38416656229290386,3,0.7489003677738185,3,0.8070126710711868,6,1.158736355980057,0.13361967614920287,0.24817103293668588,0.3339878913192985,0.0,0.0,0.7927927856505155,0.7747747677948219,0.6846846785163543,0.5225225178151125,0.45045044639233833,0.42342341960879804,0.30630630354679006,0.4594594553201851,0.3783783749695642,0.18018017855693533,0.11711711606200796,0.9909909820631443,0.33333333033033036,0.3783783749695642,0.9009008927846767,0.4864864821037254,0.6486486428049671,0.07207207142277414,1.162162151692233,0.5315315267429592,0.8558558481454428,0.41441441068095125,0.5225225178151125,1
PRV51422,1,3,5,1,2,7,5,2,12,1957.2,14519.999999999996,398.1477447715442,1068.0,11158.4,24906.470491286665,112586.3999999999,823.68,944.5054578984708,2136.0,4200.0,21648.799999999992,1584.4,5.849338686968761,63.50444900752909,84.58590006844626,1,0.4898979485566356,1,1,1,1,0.4,1,0,0.37416573867739417,1,0,0,0,20,5.8,8.18535277187245,3.64,2.7970222261064244,9,0.0,0.0,7,1.5631165450257805,3,0.6000000000000001,2,0.627162924074226,3,0.6633249580710799,2,0.5228129047119374,1,0.2,3,0.6000000000000001,1,0.3741657386773941,1,0.33166247903553997,3,0.9521904571390469,2,0.5773502691896257,3,0.9949874371066199,0.0,0.2,0.0,0.0,0.0,0.9199999632000014,0.8399999664000013,0.7999999680000013,0.639999974400001,0.4799999808000007,0.5199999792000009,0.35999998560000057,0.3199999872000005,0.4399999824000007,0.11999999520000018,0.15999999360000025,0.9999999600000016,0.19999999200000032,0.23999999040000036,0.9599999616000015,0.679999972800001,0.8399999664000013,0.19999999200000032,0.8799999648000014,0.39999998400000064,0.639999974400001,0.15999999360000025,0.639999974400001,0
PRV57399,1,1,1,1,1,1,1,1,1,57000.0,57000.0,0.0,1068.0,58500.0,0.0,58500.0,1068.0,0.0,1068.0,1320.0,1320.0,250.0,0.0,58.08624229979466,58.08624229979466,1,0.0,1,0,0,0,1.0,1,1,0.0,1,0,0,17,17,17.0,0.0,9.0,0.0,9,0.0,0.0,2,0.0,0,0.0,0,0.0,0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,2,0.0,1,0.0,0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.9999990000010001,0.9999990000010001,0.9999990000010001,0.9999990000010001,0.0,0.9999990000010001,0.0,0.9999990000010001,0.9999990000010001,0.0,0.0,0.9999990000010001,0.9999990000010001,0.9999990000010001,0.9999990000010001,0.9999990000010001,0.9999990000010001,0.9999990000010001,1.9999980000020001,0.0,4.999995000005001,0.0,0.9999990000010001,0
