code,type,count,description,Group,Larger group
4019,Diagnosis,81747,Hypertension NOS,Diseases Of The Circulatory System,Diseases Of The Circulatory System
25000,Diagnosis,39724,DMII wo cmp nt st uncntr,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders","Systemic, Metabolic & Blood Disorders"
2724,Diagnosis,38324,Hyperlipidemia NEC/NOS,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders","Systemic, Metabolic & Blood Disorders"
V5869,Diagnosis,25410,Long-term (current) use of other medications,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
4011,Diagnosis,24865,Benign hypertension,Diseases Of The Circulatory System,Diseases Of The Circulatory System
42731,Diagnosis,23772,Atrial fibrillation,Diseases Of The Circulatory System,Diseases Of The Circulatory System
V5861,Diagnosis,21537,Long-term (current) use of anticoagulants,Supplementary Factors (V-Codes),Supplementary Factors (V-Codes)
2720,Diagnosis,19103,Pure hypercholesterolemia,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders","Systemic, Metabolic & Blood Disorders"
2449,Diagnosis,18292,Hypothyroidism NOS,"Endocrine, Nutritional And Metabolic Diseases, And Immunity Disorders","Systemic, Metabolic & Blood Disorders"
4280,Diagnosis,16651,"Congestive heart failure, unspecified",Diseases Of The Circulatory System,Diseases Of The Circulatory System
41401,Diagnosis,15246,Coronary atherosclerosis of native coronary artery,Diseases Of The Circulatory System,Diseases Of The Circulatory System
53081,Diagnosis,15171,Esophageal reflux,Diseases Of The Digestive System,Diseases Of The Digestive System
496,Diagnosis,13980,"Chronic airway obstruction, not elsewhere classified",Diseases Of The Respiratory System,Diseases Of The Respiratory System
2859,Diagnosis,13398,Anemia NOS,Diseases Of The Blood And Blood-Forming Organs,"Systemic, Metabolic & Blood Disorders"
78079,Diagnosis,12741,Other malaise and fatigue,"Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
41400,Diagnosis,12439,"Coronary atherosclerosis of unspecified type of vessel, native or graft",Diseases Of The Circulatory System,Diseases Of The Circulatory System
5990,Diagnosis,12185,"Urinary tract infection, site not specified",Diseases Of The Genitourinary System,Diseases Of The Genitourinary System
28521,Diagnosis,10181,Anemia in chronic kidney disease,Diseases Of The Blood And Blood-Forming Organs,"Systemic, Metabolic & Blood Disorders"
3051,Diagnosis,9099,Tobacco use disorder,Mental Disorders,Mental Disorders
2809,Diagnosis,8333,"Iron deficiency anemia, unspecified",Diseases Of The Blood And Blood-Forming Organs,"Systemic, Metabolic & Blood Disorders"
311,Diagnosis,8186,"Depressive disorder, not elsewhere classified",Mental Disorders,Mental Disorders
73300,Diagnosis,7534,"Osteoporosis, unspecified",Diseases Of The Musculoskeletal System And Connective Tissue,Musculoskeletal & Connective Tissue
78650,Diagnosis,7508,"Chest pain, unspecified","Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
58881,Diagnosis,7307,Secondary hyperparathyroidism (of renal origin),Diseases Of The Genitourinary System,Diseases Of The Genitourinary System
78605,Diagnosis,7304,Shortness of breath,"Symptoms, Signs, And Ill-Defined Conditions","Symptoms, Signs, And Ill-Defined"
5859,Diagnosis,7154,"Chronic kidney disease, unspecified",Diseases Of The Genitourinary System,Diseases Of The Genitourinary System
